disease_field,metabolite_field,linear_beta,linear_pvalue,logistic_beta,logistic_pvalue,warning
p130070,p23400_i0,-0.2212996744334745,0.0,-0.2319281706611835,0.0,
p130340,p23400_i0,-0.1782750442111882,4.095569547269139e-231,-0.1758827214490676,1.2290881620290715e-176,
p130708,p23400_i0,-1.0377208123195636,0.0,-1.522655523756022,0.0,
p130718,p23400_i0,-0.6510627824584924,0.0,-0.7706758234657825,0.0,
p130722,p23400_i0,-0.23633360317517,0.0,-0.2650142580863556,0.0,
p130770,p23400_i0,-0.3125815338617362,0.0,-0.3261251140401368,0.0,
p130774,p23400_i0,-0.3215869940804675,0.0,-0.3868794738025746,0.0,
p130820,p23400_i0,-0.3683120681774921,0.0,-0.4006291217985646,0.0,
p130826,p23400_i0,-0.339723452450597,0.0,-0.3751705626411931,0.0,
p130828,p23400_i0,-0.4220776311194922,0.0,-0.4622357910527185,0.0,
p130846,p23400_i0,-0.3244163842358283,0.0,-0.3854522676238112,0.0,
p131022,p23400_i0,-0.2483265648404678,0.0,-0.2507856922435141,0.0,
p131036,p23400_i0,-0.5959645921530993,0.0,-1.0376970037959583,0.0,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p131038,p23400_i0,-0.2330064957999642,0.0,-0.2625362927251344,0.0,
p131056,p23400_i0,-0.7145842530236336,0.0,-0.8376173658614222,0.0,
p131086,p23400_i0,-0.3379989473069086,0.0,-0.3632504395790348,0.0,
p131126,p23400_i0,-0.2824491036368412,0.0,-0.3097813498632706,0.0,
p131164,p23400_i0,-0.2445726363849437,0.0,-0.2394857179720166,0.0,
p131166,p23400_i0,-0.1268366668601393,1.469267464525317e-179,-0.1254472461420498,2.772646637854125e-162,
p131180,p23400_i0,-0.4283124584380334,0.0,-0.4609565840879476,0.0,
p131182,p23400_i0,-0.2103176800423887,0.0,-0.2168663697317236,0.0,
p131190,p23400_i0,-0.0681267420562298,5.471149078737685e-45,-0.0715779872756735,2.2741346764179346e-45,
p131282,p23400_i0,-0.5783986391197757,0.0,-0.6739077185786172,0.0,
p131304,p23400_i0,-1.035871959046906,0.0,-1.593550484019312,0.0,
p131306,p23400_i0,-0.9667773560524544,0.0,-1.3651778863210438,0.0,
p131310,p23400_i0,-0.5828312766188714,0.0,-0.657449312259159,0.0,
p131322,p23400_i0,-0.3230842802829571,0.0,-0.3460580973600566,0.0,
p131324,p23400_i0,-0.4427836037380119,0.0,-0.4878178911334217,0.0,
p131342,p23400_i0,-0.5398733330989122,0.0,-0.6113273451989033,0.0,
p131344,p23400_i0,-0.3485058552001291,0.0,-0.3804086432467971,0.0,
p131346,p23400_i0,-0.6333740304046549,0.0,-0.8027900626435872,0.0,
p131350,p23400_i0,-0.4666453635430707,0.0,-0.5104996860677036,0.0,
p131354,p23400_i0,-0.8246442916487103,0.0,-1.0805307877365096,0.0,
p131366,p23400_i0,-0.780936835638407,0.0,-1.016046987078487,0.0,
p131370,p23400_i0,-0.9174099879008832,0.0,-1.218496954849367,0.0,
p131374,p23400_i0,-0.5170513608289593,0.0,-0.5865683344634798,0.0,
p131378,p23400_i0,-0.7015064290411429,0.0,-0.8657045416996711,0.0,
p131380,p23400_i0,-0.7191492544916791,0.0,-0.845991970739374,0.0,
p131382,p23400_i0,-0.669343703049151,0.0,-0.7965093194438249,0.0,
p131390,p23400_i0,-0.621095895015089,0.0,-0.7310723612553931,0.0,
p131416,p23400_i0,-0.3689727367253181,0.0,-0.3976343311300114,0.0,
p131444,p23400_i0,0.0249882980354018,1.2442320094312122e-06,0.0547623387564084,1.6087146120487447e-19,
p131490,p23400_i0,-0.3004797012557408,0.0,-0.3075557778084823,0.0,
p131518,p23400_i0,-0.4206190384376792,0.0,-0.5488777619055055,0.0,
p131528,p23400_i0,-0.2864678844047952,0.0,-0.3038779832346373,0.0,
p131534,p23400_i0,-0.3799124360517823,0.0,-0.4108845009023567,0.0,
p131538,p23400_i0,-0.4043586522571056,0.0,-0.3611275457656407,0.0,
p131546,p23400_i0,-0.4217443118185583,0.0,-0.4547320518088629,0.0,
p131602,p23400_i0,-0.1159654353597857,1.7421795388712075e-163,-0.1200907257498866,4.3099478859806445e-161,
p131632,p23400_i0,-0.4270396323205135,0.0,-0.4563794594923657,0.0,
p131636,p23400_i0,-0.1282265463370768,5.8589128449482734e-195,-0.1301766334014621,5.710088358297245e-184,
p131648,p23400_i0,-0.1140581804578267,4.7684465161163536e-154,-0.1173926209085702,7.230549260287103e-149,
p131670,p23400_i0,-0.4018032568147289,0.0,-0.432304945352298,0.0,
p131680,p23400_i0,-0.2731066238812349,0.0,-0.2886509994108166,0.0,
p131684,p23400_i0,-0.3734901197783337,0.0,-0.4133091113856042,0.0,
p131820,p23400_i0,-0.3415660827702758,0.0,-0.378311664323429,0.0,
p131834,p23400_i0,-0.684028620846688,0.0,-0.8269414019607576,0.0,
p131868,p23400_i0,-0.1054687797394067,7.09284192981062e-109,-0.1054912791599734,9.983886293097356e-98,
p131870,p23400_i0,-0.1021330795152838,1.25552824838366e-119,-0.1004638228463672,1.0752389308531319e-106,
p131872,p23400_i0,-0.1245140881254735,1.6797270738371408e-185,-0.1267833104632355,6.620612942367109e-174,
p131874,p23400_i0,-0.0851124810475241,1.0321389412276469e-64,-0.1031152388430737,1.7732151660659155e-76,
p131900,p23400_i0,-0.0341886839215119,1.646557279602905e-13,-0.0466903503436129,1.3829051217868057e-21,
p131964,p23400_i0,-0.0385600335385372,5.083676840792073e-15,-0.0928714238133555,7.510851553906551e-64,
p132030,p23400_i0,-0.6318835829524824,0.0,-0.7567536601786197,0.0,
p132032,p23400_i0,-0.5408267684114801,0.0,-0.584120152134424,0.0,
p130070,p23401_i0,-0.1675640003917274,0.0,-0.1702030420440123,0.0,
p130340,p23401_i0,-0.1392279651984641,5.434922081632538e-138,-0.1292327186931182,2.3573955369635754e-99,
p130708,p23401_i0,-0.9891617412065355,0.0,-1.3298711818099,0.0,
p130718,p23401_i0,-0.7663360757719256,0.0,-0.9150454051405532,0.0,
p130722,p23401_i0,-0.1569405642954584,6.630941199134552e-251,-0.1750078816435906,3.99137486017406e-285,
p130770,p23401_i0,-0.2801309688194513,0.0,-0.2872475476683162,0.0,
p130774,p23401_i0,-0.1558407151159803,1.992774182742943e-179,-0.174952078148744,1.5072414503523005e-152,
p130820,p23401_i0,-0.3321278384541592,0.0,-0.3518240319845472,0.0,
p130826,p23401_i0,-0.3139915446569581,0.0,-0.3327292836932409,0.0,
p130828,p23401_i0,-0.4514445992676049,0.0,-0.4811286053915626,0.0,
p130846,p23401_i0,-0.3086128296155985,0.0,-0.3405162090489374,0.0,
p131022,p23401_i0,-0.2736162172545824,0.0,-0.2667290125030807,0.0,
p131036,p23401_i0,-0.6133199167553128,0.0,-1.1068171384590593,0.0,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p131038,p23401_i0,-0.2287281638436014,0.0,-0.2481852894337983,0.0,
p131056,p23401_i0,-0.741509951961901,0.0,-0.8515966014307325,0.0,
p131086,p23401_i0,-0.3056606575450052,0.0,-0.3157827105523309,0.0,
p131126,p23401_i0,-0.2264693452167337,0.0,-0.2391362562716663,0.0,
p131164,p23401_i0,-0.2336716281423913,0.0,-0.223980075030248,0.0,
p131166,p23401_i0,-0.1214880036084564,2.7883822779993446e-161,-0.117768673468038,2.999678496615948e-146,
p131180,p23401_i0,-0.4415499072122489,0.0,-0.4602251038986866,0.0,
p131182,p23401_i0,-0.2095930957573459,0.0,-0.2120433575792538,0.0,
p131190,p23401_i0,-0.0582286781888501,1.4616251045157076e-32,-0.0631552268943556,2.3629531020286468e-36,
p131282,p23401_i0,-0.5590690528020028,0.0,-0.616617615979681,0.0,
p131304,p23401_i0,-1.0695429192175243,0.0,-1.5298138156057857,0.0,
p131306,p23401_i0,-0.977842358034209,0.0,-1.2760858354339013,0.0,
p131310,p23401_i0,-0.5501342176627205,0.0,-0.606122189173659,0.0,
p131322,p23401_i0,-0.3468654942159888,0.0,-0.3638088640247757,0.0,
p131324,p23401_i0,-0.4439066812491844,0.0,-0.4678694877269747,0.0,
p131342,p23401_i0,-0.5292023422308271,0.0,-0.5710893615266396,0.0,
p131344,p23401_i0,-0.3562632808274498,0.0,-0.3743066670986471,0.0,
p131346,p23401_i0,-0.6511484057372082,0.0,-0.7868071168898049,0.0,
p131350,p23401_i0,-0.4693462351557568,0.0,-0.4875693560578736,0.0,
p131354,p23401_i0,-0.805629046719032,0.0,-0.9634413638052852,0.0,
p131366,p23401_i0,-0.8534684918598286,0.0,-1.072466018640822,0.0,
p131370,p23401_i0,-0.9714047697849062,0.0,-1.2479980586842816,0.0,
p131374,p23401_i0,-0.5224784514117565,0.0,-0.575613838016973,0.0,
p131378,p23401_i0,-0.7462684657250083,0.0,-0.9049972432764504,0.0,
p131380,p23401_i0,-0.730464188470464,0.0,-0.8243460660505684,0.0,
p131382,p23401_i0,-0.6757894708251346,0.0,-0.7389521811981233,0.0,
p131390,p23401_i0,-0.6172061994359965,0.0,-0.6913421490891003,0.0,
p131416,p23401_i0,-0.3650114367493625,0.0,-0.3826780031346402,0.0,
p131444,p23401_i0,0.0772958692810334,2.161456948055139e-49,0.1128537390732743,2.4036083100013273e-81,
p131490,p23401_i0,-0.4034038122985973,0.0,-0.4134891338256823,0.0,
p131518,p23401_i0,-0.4881907810959237,0.0,-0.6263101865100437,0.0,
p131528,p23401_i0,-0.289944573649907,0.0,-0.2985601157805571,0.0,
p131534,p23401_i0,-0.3616595805329355,0.0,-0.3778556505106952,0.0,
p131538,p23401_i0,-0.460573571345461,0.0,-0.392701518897841,0.0,
p131546,p23401_i0,-0.4458427319480997,0.0,-0.4686939204543073,0.0,
p131602,p23401_i0,-0.0677711512601651,8.497020094524829e-56,-0.0681709670982371,7.977479206791444e-55,
p131632,p23401_i0,-0.3947537956241584,0.0,-0.4160482398305097,0.0,
p131636,p23401_i0,-0.0603477601152526,1.3757194535127422e-43,-0.0583431441330397,1.2671935668873212e-39,
p131648,p23401_i0,-0.0858519758494667,6.1217929379182376e-86,-0.0852487067802899,6.921174201548931e-82,
p131670,p23401_i0,-0.2942624808106591,0.0,-0.3033510848472383,0.0,
p131680,p23401_i0,-0.2204955271155199,0.0,-0.2277555267823077,0.0,
p131684,p23401_i0,-0.3395410657985171,0.0,-0.3622140951044322,0.0,
p131768,p23401_i0,-0.029663379111876,4.404930440179816e-10,-0.0245184535119748,4.267678576660509e-07,
p131820,p23401_i0,-0.2925400897626125,0.0,-0.3038992923108457,0.0,
p131834,p23401_i0,-0.698359678660118,0.0,-0.8154568773217764,0.0,
p131868,p23401_i0,-0.0345529103743055,7.182826630526515e-13,-0.0361435012998874,3.087270336257174e-13,
p131870,p23401_i0,-0.0939841917203982,4.24249082405412e-99,-0.0911550877762546,4.7798291934490334e-90,
p131872,p23401_i0,-0.0683810595815918,1.0915469624586662e-55,-0.0655691656294441,1.7214139129576425e-49,
p131874,p23401_i0,-0.0295657373068679,6.330267995062272e-09,-0.0469212180183444,1.2666471828587196e-17,
p131964,p23401_i0,-0.0482244815309295,1.0662722847265656e-21,-0.1041430754606223,1.4917810995143166e-84,
p131972,p23401_i0,-0.0236195489462318,4.157006431223403e-06,-0.0470416844525999,2.5730788457397573e-18,
p132030,p23401_i0,-0.600095785255675,0.0,-0.6769875837719121,0.0,
p132032,p23401_i0,-0.4846376227597325,0.0,-0.5063207060096495,0.0,
p130070,p23402_i0,-0.1207600386443471,6.000511292369415e-172,-0.1222145700273291,3.050587662832653e-168,
p130340,p23402_i0,-0.1361348720156694,4.4405482591003675e-132,-0.1250643875530813,2.394607823059532e-93,
p130708,p23402_i0,-0.9652108387196412,0.0,-1.278825926871848,0.0,
p130718,p23402_i0,-0.7508105853971427,0.0,-0.8827137407771058,0.0,
p130722,p23402_i0,-0.1330951490822597,4.26891694651862e-181,-0.1491514681756886,4.786727675257865e-209,
p130770,p23402_i0,-0.2579642684880225,0.0,-0.2621327090811021,0.0,
p130774,p23402_i0,-0.0785075091786595,1.5260800459429424e-47,-0.0847345089382989,1.2829969541156546e-36,
p130820,p23402_i0,-0.279168574318403,0.0,-0.2916324895656803,0.0,
p130826,p23402_i0,-0.2444641197907194,0.0,-0.2556741649627305,0.0,
p130828,p23402_i0,-0.4180495356924391,0.0,-0.4408113096451345,0.0,
p130842,p23402_i0,-0.0596394163045797,2.107639958700244e-37,-0.0252196779082513,1.3432480354430888e-06,
p130846,p23402_i0,-0.2728768618268905,0.0,-0.3067695861185128,0.0,
p131022,p23402_i0,-0.2612722530198241,0.0,-0.2523800930844504,0.0,
p131036,p23402_i0,-0.7079933972805086,0.0,-1.3003865394600864,0.0,simpleWarning: glm.fit: fitted probabilities numerically 0 or 1 occurred
p131038,p23402_i0,-0.1832868283598435,0.0,-0.197147805084344,0.0,
p131056,p23402_i0,-0.7433788702737484,0.0,-0.8514299657189677,0.0,
p131086,p23402_i0,-0.247190154140017,0.0,-0.2522900158123916,0.0,
p131126,p23402_i0,-0.1841438385680398,0.0,-0.1940281777145965,0.0,
p131164,p23402_i0,-0.2129326779843795,0.0,-0.2021385118821157,0.0,
p131166,p23402_i0,-0.1105476756261005,8.824420307319036e-134,-0.1064606301554629,3.371406522314999e-120,
p131180,p23402_i0,-0.4251956806691398,0.0,-0.4384837736778415,0.0,
p131182,p23402_i0,-0.210671474623079,0.0,-0.2131826499016742,0.0,
p131190,p23402_i0,-0.0576023723589638,6.33241024430116e-32,-0.0619803546298659,4.4046483101227837e-35,
p131282,p23402_i0,-0.52437712021172,0.0,-0.5693502044914084,0.0,
p131304,p23402_i0,-1.0646763907531434,0.0,-1.531298526330116,0.0,
p131306,p23402_i0,-0.974686578898626,0.0,-1.2737513026023917,0.0,
p131310,p23402_i0,-0.4940314931619172,0.0,-0.5356801053156814,0.0,
p131322,p23402_i0,-0.3334938062615548,0.0,-0.348329922438719,0.0,
p131324,p23402_i0,-0.4162776768796282,0.0,-0.4360509020855629,0.0,
p131342,p23402_i0,-0.5052432110345406,0.0,-0.5395127140645477,0.0,
p131344,p23402_i0,-0.3279082604767891,0.0,-0.342254826901212,0.0,
p131346,p23402_i0,-0.6343643672293872,0.0,-0.75750155763495,0.0,
p131350,p23402_i0,-0.4410185254730424,0.0,-0.4513517694281644,0.0,
p131354,p23402_i0,-0.7653357476034431,0.0,-0.8967154714215965,0.0,
p131366,p23402_i0,-0.8451542922281277,0.0,-1.054865270973112,0.0,
p131370,p23402_i0,-0.9689744917842652,0.0,-1.256437437729421,0.0,
p131374,p23402_i0,-0.5034067878143565,0.0,-0.5483776713546701,0.0,
p131378,p23402_i0,-0.7329315872658615,0.0,-0.8802603319604441,0.0,
p131380,p23402_i0,-0.6996387094547685,0.0,-0.7776033508717323,0.0,
p131382,p23402_i0,-0.6535892335700703,0.0,-0.713347147717143,0.0,
p131390,p23402_i0,-0.5836952337817127,0.0,-0.6453951722117335,0.0,
p131416,p23402_i0,-0.3281220535401485,0.0,-0.3403924052160734,0.0,
p131444,p23402_i0,0.0952592098656179,5.439316271457054e-74,0.1304168895559537,5.116402221490008e-109,
p131490,p23402_i0,-0.3884230969347602,0.0,-0.3968724254746406,0.0,
p131518,p23402_i0,-0.4078386012430754,0.0,-0.5116935838896661,0.0,
p131528,p23402_i0,-0.2025059940549465,0.0,-0.2037486050805354,0.0,
p131534,p23402_i0,-0.3247746928572391,0.0,-0.3363537011109948,0.0,
p131538,p23402_i0,-0.4458959916521945,0.0,-0.3865004233786929,0.0,
p131546,p23402_i0,-0.3874451850685742,0.0,-0.4010411834005808,0.0,
p131602,p23402_i0,-0.0445589096285258,4.375209822304024e-25,-0.0446405039197208,1.5418497977174643e-24,
p131632,p23402_i0,-0.3570613635679036,0.0,-0.3720950626163455,0.0,
p131636,p23402_i0,-0.0451182894112743,4.366427607653543e-25,-0.0429252087805155,3.12942178284936e-22,
p131648,p23402_i0,-0.0604630225472623,1.9086734917096768e-43,-0.0591788728255669,1.7052102171847615e-40,
p131670,p23402_i0,-0.2075520005148932,0.0,-0.2114696939390711,0.0,
p131680,p23402_i0,-0.1607319257410547,5.029970456e-313,-0.1660739994972807,0.0,
p131684,p23402_i0,-0.2688914695679608,0.0,-0.2831869674571999,0.0,
p131768,p23402_i0,-0.0390488954627591,2.0787579761280371e-16,-0.0344415909407218,1.2889125544200409e-12,
p131820,p23402_i0,-0.2271602154380978,0.0,-0.2296340720645562,0.0,
p131834,p23402_i0,-0.6096825766229299,0.0,-0.6988858470310216,0.0,
p131870,p23402_i0,-0.0738532007010398,5.496492464274722e-62,-0.0704925144955919,8.546225840048265e-55,
p131872,p23402_i0,-0.0462836534080635,1.9849096199418182e-26,-0.042905051573065,3.2376712178821483e-22,
p131964,p23402_i0,-0.0426904251111249,2.298043710842741e-17,-0.0971537371883026,3.152109555745364e-74,
p131972,p23402_i0,-0.0250651788920746,1.0188163561514928e-06,-0.047825728273526,5.9039587285458e-19,
p132030,p23402_i0,-0.513709452014772,0.0,-0.5628202672233722,0.0,
p132032,p23402_i0,-0.4525190205731096,0.0,-0.46666869612157,0.0,
p130070,p23403_i0,0.0215561386802203,6.966014619571865e-07,0.0229402900044039,1.621533337824766e-07,
p130340,p23403_i0,-0.0518748183132195,1.1152427154230604e-20,-0.0344449589467651,1.5675697427198612e-08,
