disease_field,num_vars_excluded_by_hwe
p130070,44763
p130340,45266
p130708,43815
p130718,45192
p130722,45338
p130770,45242
p130774,45241
p130820,45067
p130826,44992
p130828,44445
p130842,45227
p130846,45115
p131022,45254
p131036,45284
p131038,45309
p131056,45024
p131086,45196
p131126,45294
p131164,44127
p131166,43502
p131180,45274
p131182,44728
p131190,44947
p131282,45130
p131304,45206
p131306,43435
p131310,45294
p131322,45131
p131324,45086
p131342,44913
p131344,45132
p131346,45285
p131350,43903
p131354,44702
p131366,44999
p131370,45314
p131374,45014
p131378,45304
p131380,45244
p131382,45250
p131390,45272
p131416,44598
p131444,45281
p131490,45168
p131518,45296
p131528,45257
p131534,44822
p131538,45300
p131546,45087
p131602,44603
p131632,45267
p131636,42573
p131648,43954
p131670,44859
p131680,45195
p131684,45270
p131768,44546
p131820,45174
p131834,45282
p131868,44756
p131870,44255
p131872,43581
p131874,45243
p131900,45070
p131964,44419
p131972,44781
p132030,44499
p132032,44280
