coefficient,pvalue,var_explained,covar,disease_field
0.4319786649857008,8.215960505561962e-38,-1,Alcohol intake frequency,p130070
-0.5960716050103235,5.862420991945201e-108,-1,Smoking status,p130070
0.0100530785679766,2.7951430192967435e-22,-1,% body fat,p130070
0.0510885261155824,1.68321458970271e-10,-1,Hours slept per day,p130070
0.0546693740443832,8.893232667824872e-87,-1,TDI,p130070
0.4453946048067878,2.0941590689174587e-101,-1,Education,p130070
-0.0313496268602904,4.381093901452224e-16,-1,Days/week moderate activity,p130070
-0.0078518442878995,3.355425992360688e-22,-1,Grip strength,p130070
0.0200322956280451,7.333028605479461e-06,-1,Cooked veg intake,p130070
-0.0339902879010671,4.860532194415101e-12,-1,Raw veg intake,p130070
-0.0262705485707679,9.665960233241878e-06,-1,Fresh fruit intake,p130070
-0.0216869382326845,0.00026597835206388813,-1,Dried fruit intake,p130070
-0.1431780182095504,4.2335547860584886e-08,-1,Oily fish intake,p130070
0.5490852079767891,2.659556464301596e-07,-1,Non-oily fish intake,p130070
-0.4126617330090298,3.7836376322081846e-27,-1,Processed meat intake,p130070
0.2590964167661171,1.294834178228459e-20,-1,Poultry intake,p130070
-0.2094446241069257,4.3121916718593075e-14,-1,Beef intake,p130070
-0.3997784820720307,7.251042704324576e-16,-1,Lamb intake,p130070
-0.3375306537170048,6.825593806359023e-14,-1,Pork intake,p130070
0.0104184372382713,4.644670710355225e-28,-1,Bread intake,p130070
-0.0166940630394992,1.16784429311387e-07,-1,Cereal intake,p130070
-0.0137931882194701,0.0008393609910582195,-1,Water intake,p130070
0.5760176749913571,2.3534466213383623e-15,-1,Alcohol intake frequency,p130340
-0.4798416426811996,2.7191214584447207e-16,-1,Smoking status,p130340
0.025613817913182,6.0221204934679e-32,-1,% body fat,p130340
-0.0118293073261196,0.4854773839060345,-1,Hours slept per day,p130340
0.0803132987419016,3.2792982251505222e-46,-1,TDI,p130340
0.5664706901709289,1.9167154898192671e-35,-1,Education,p130340
-0.0290971618166256,0.00033626875778651895,-1,Days/week moderate activity,p130340
-0.0090253488348001,1.3303613514569537e-07,-1,Grip strength,p130340
0.0127162526288793,0.1911655635949061,-1,Cooked veg intake,p130340
-0.0078890957577343,0.407430681233135,-1,Raw veg intake,p130340
-0.0271816158874914,0.0300727332518066,-1,Fresh fruit intake,p130340
-0.0669834476301416,4.4548053200105895e-06,-1,Dried fruit intake,p130340
0.7531610356707031,4.136440022182785e-05,-1,Oily fish intake,p130340
0.6916475010965867,0.0008152832165957943,-1,Non-oily fish intake,p130340
-0.257708615835998,1.3775461464670794e-07,-1,Processed meat intake,p130340
0.9064194801053672,0.0005364581393262562,-1,Poultry intake,p130340
0.8150313697913589,7.086668327276261e-05,-1,Beef intake,p130340
-0.4259400506835763,0.00011171603485324872,-1,Lamb intake,p130340
-0.3356606454026853,0.0003944560312721514,-1,Pork intake,p130340
0.0057405246518353,0.0054287903031942,-1,Bread intake,p130340
-0.0395781311873507,1.864163165334041e-09,-1,Cereal intake,p130340
-0.00030384863447129534,0.9713265879446096,-1,Water intake,p130340
0.9723862339318352,0.0,-1,Alcohol intake frequency,p130708
-0.5404046410040355,2.6585849058135074e-197,-1,Smoking status,p130708
0.0446516068748291,0.0,-1,% body fat,p130708
0.0265668322297092,2.69708864407193e-07,-1,Hours slept per day,p130708
0.0867707501899248,0.0,-1,TDI,p130708
0.6751616188452073,0.0,-1,Education,p130708
-0.0584778899521733,8.823156670493491e-122,-1,Days/week moderate activity,p130708
-0.0019544345449722,0.00014498070880850883,-1,Grip strength,p130708
0.0261138983470939,4.317870900800257e-20,-1,Cooked veg intake,p130708
-0.0428978120790178,1.1536880925544602e-40,-1,Raw veg intake,p130708
0.0338608548893737,2.626633494351239e-23,-1,Fresh fruit intake,p130708
-0.0763757164740783,3.187746364665628e-65,-1,Dried fruit intake,p130708
0.5866789477445002,1.5068760337768808e-20,-1,Oily fish intake,p130708
0.6178878327125288,4.497895701795182e-19,-1,Non-oily fish intake,p130708
