chr,start,end
1,10821808,10828135
1,22397584,22399584
1,22482649,22735931
1,39551963,40088764
1,50932200,51533590
1,55504647,55506647
1,56911222,57017131
1,68589604,68666023
1,100031836,100065378
1,103237333,103484514
1,109799321,109823166
1,112450447,112465004
1,118179599,118181599
1,118603989,118605989
1,120436718,120609444
1,147254831,147346690
1,150536357,151092290
1,151835675,151997692
1,154794389,155021836
1,155094750,155723506
1,169626908,170710460
1,183932971,184050978
1,196205732,197102263
1,203020665,203050676
1,214143858,214160256
1,218518367,218527228
1,219267532,219705939
1,219725100,219789530
1,220969028,220974761
1,221049400,221151392
1,222792632,222863992
1,227169298,227215566
1,228293300,228407675
1,234342339,234366086
1,243468669,243502763
1,245769642,245779157
10,12238456,12329010
10,17142000,17164081
10,18432986,18446803
10,25731671,25913702
10,29023130,29025130
10,30316073,30318073
10,44667724,44778560
10,50303998,50365540
10,64987931,65367023
10,75196051,75664351
10,80925036,81019948
10,94201905,94500577
10,97326996,97728916
10,101356014,101492236
10,105295388,105695644
10,114596109,114921089
10,124099331,124239997
11,185458,246702
11,1084304,1462077
11,2192597,2859800
11,10341711,10366044
11,14979848,15121775
11,17367013,17422886
11,20001401,20019758
11,27460779,27473777
11,27645247,27749493
11,28873514,28875514
11,30748169,30778014
11,59622378,59675097
11,65416434,65571146
11,68153188,68434262
11,68592134,69356082
11,69982047,70008484
11,72400101,72722271
11,86853250,86883043
11,88419837,89130133
11,92672828,92709710
11,103659567,103697851
11,111138327,111174290
11,128763570,128795753
11,130267147,130281725
12,4315171,4404876
12,24714048,24812390
12,27979656,28030554
12,30755958,30903110
12,53653219,54434011
12,56114585,56116778
12,66164471,66359347
12,70030391,70099621
12,111359049,112907415
12,114727379,114828707
12,121412027,121427594
12,123403966,123913213
12,124498542,124501725
12,125302254,125317743
13,22854175,22886947
13,42940357,43136294
13,80699707,80761947
13,107894297,108229295
13,110792123,110819102
14,23860811,23870029
14,32897974,32993334
14,38757704,38849419
14,64611858,64872010
14,77421803,77428469
14,94837142,94864636
15,28179200,28580547
15,32986718,33103534
15,38851386,38874115
15,40641877,40723781
15,48698486,48940888
15,50712634,50796984
15,53881442,53970364
15,58214727,58343394
15,67363991,67371389
15,73630288,73688743
15,76469755,77109995
15,77383002,77849806
15,78718501,79170499
15,90367067,90451289
15,91402674,91444059
16,374782,378367
16,2002016,2004016
16,7457057,7463814
16,20343532,20414776
16,53796908,53849561
16,69546741,70383554
16,72982632,73103243
16,75233273,75287484
16,75303497,75517739
16,80027413,80050502
16,84842611,84945312
16,86224902,86239814
16,89261162,90167109
17,2000825,2015984
17,2025417,2069932
17,7317061,7569327
17,12617680,12619680
17,36091841,36104872
17,37769481,38068533
17,41772814,41931241
17,43571419,44866603
17,47059322,47096041
17,47378486,47491102
17,59650620,59687867
17,79434879,79631941
17,81060048,81065971
18,19997810,19999810
18,20009871,20038597
18,46391391,46460032
18,60053857,60055857
18,60844884,60846884
18,77161462,77163462
19,6709782,6725340
19,7967168,7979430
19,11186324,11211912
19,19324963,19794545
19,38724859,38816217
19,41832784,41834784
19,45221789,46168469
19,47563643,47583356
19,49205674,49230525
19,55878672,55880672
2,416167,423144
2,25511438,25577318
2,27597097,27753871
2,33374133,33462375
2,43448385,43865089
2,44051743,44088024
2,55990004,56227442
2,60582665,60587707
2,65275049,65383167
2,65638280,65685152
2,70020002,70168197
2,70651228,70731714
2,85735051,85815984
2,127890427,127893810
2,143553031,143583624
2,144173530,144504862
2,145633153,145853985
2,165500849,165631460
2,169102999,169167282
2,175412833,175559804
2,179345569,179693967
2,179703973,179840888
2,201159499,201199623
2,203638395,204197618
2,204250800,204407726
2,213049763,213265996
2,218794356,218800846
2,226923209,227199983
20,6280204,6715972
20,10646951,10650677
20,19454203,19616216
20,31927890,34639903
20,37498139,37502507
20,45581233,45607853
20,47339117,47341117
20,55361831,55366546
20,60854449,61026704
21,35592827,35623220
21,36118111,36121052
21,40328883,40351120
21,47046591,47558880
22,18596404,18601583
22,31001638,31047315
22,40553344,40555344
22,44322597,44408559
22,45722116,45724807
3,12328783,12414339
3,12818037,12859028
3,15469856,15593839
3,23245073,23458080
3,38578207,38799836
3,41071355,41192022
3,45840938,45910644
3,46248943,46259902
3,49859854,50023079
3,52565820,52567820
3,66324074,66453973
3,111521829,111705419
3,122935084,123138791
3,136102267,136115945
3,150977242,151090226
3,151992809,152189327
3,153721790,153809831
3,181337494,181377530
3,185458675,185549683
3,187739523,187742842
3,189725694,189729328
4,1002022,1014382
4,1703244,1705244
4,1748160,1750160
4,6257829,6329354
4,13005572,13064846
4,23805976,23850710
4,72604517,72682824
4,77356592,77415988
4,81163723,81185341
4,81945533,81979791
4,88771189,88856003
4,90605597,90858479
4,95780256,95835115
4,103187709,103199082
4,111312489,112077097
4,114383328,114524729
4,145478761,145490098
4,145505456,145507456
4,148363920,148428503
4,156613184,156678592
4,185712595,185718759
5,687900,700046
5,1276577,1297486
5,14783165,14787749
5,33945571,33968145
5,36645553,36647915
5,37675654,37869495
5,55443481,55445683
5,55803552,55869097
5,64258995,64969352
5,101272694,102755950
5,134451825,134523977
5,137002688,137790519
5,172593115,173394823
6,379328,558932
6,7222566,7313714
6,7562232,7564232
6,10845893,10898488
6,12763286,12999826
6,16404710,16444077
6,18209109,18371368
6,20484864,20956332
6,24865495,28478682
6,34705358,34829553
6,36644588,36649064
6,36919629,36926976
6,44605860,45401394
6,55635235,55645663
6,73642289,73644289
6,76131905,76651319
6,82621562,82623562
6,98296832,98547547
6,118558589,118975798
6,122387851,122682945
6,127386367,127523573
6,134103132,134227147
6,149324028,149414519
6,151856594,152091707
6,160241487,161661100
6,163799837,163829698
7,11676840,11678840
7,14371009,14386786
7,15030450,15067045
7,19033191,19053733
7,27209581,27218359
7,28141088,28257240
7,29568579,29591944
7,30954539,30958148
7,37994383,38158511
7,46171401,46215253
7,46904525,47515360
7,73390884,73567952
