LOC	CHR	START	STOP
ENSG00000159915	19	44754318	44779470
ENSG00000062370	19	44830708	44871377
ENSG00000267173	19	44833848	44905774
ENSG00000267508	19	44886459	44905774
ENSG00000167383	19	44921685	44952766
ENSG00000267242	19	44978645	44979403
ENSG00000167384	19	44979854	45004576
ENSG00000267614	19	45040251	45040599
ENSG00000216588	19	45116940	45140081
ENSG00000266903	19	45135500	45222031
ENSG00000073008	19	45147098	45166850
ENSG00000186567	19	45165545	45187631
ENSG00000213892	19	45202421	45213986
ENSG00000069399	19	45250962	45263301
ENSG00000142273	19	45281126	45303891
ENSG00000187244	19	45312328	45324673
ENSG00000130202	19	45349432	45392485
ENSG00000267282	19	45385284	45394133
ENSG00000130204	19	45393826	45406946
ENSG00000130203	19	45409011	45412650
ENSG00000130208	19	45417504	45422606
ENSG00000224916	19	45445495	45452822
ENSG00000267467	19	45445495	45452820
ENSG00000234906	19	45449243	45452822
ENSG00000267114	19	45453301	45457264
ENSG00000104853	19	45457842	45496599
ENSG00000104856	19	45504688	45541452
ENSG00000104859	19	45542298	45574214
ENSG00000170684	19	45574758	45579846
ENSG00000267348	19	45579768	45593649
ENSG00000142252	19	45582453	45594782
ENSG00000007047	19	45582546	45808541
ENSG00000104866	19	45594654	45651335
ENSG00000267044	19	45639251	45640235
ENSG00000267037	19	45653008	45653863
ENSG00000179846	19	45653008	45663408
ENSG00000007255	19	45666186	45681495
ENSG00000189114	19	45682003	45685059
ENSG00000267545	19	45683080	45705702
ENSG00000266958	19	45690646	45720191
ENSG00000130201	19	45715879	45737469
ENSG00000267045	19	45741890	45748628
ENSG00000104879	19	45809672	45826235
ENSG00000104892	19	45836692	45854778
ENSG00000268341	19	45842445	45842639
ENSG00000104884	19	45853095	45874176
ENSG00000104881	19	45882892	45909607
ENSG00000117877	19	45909467	45914024
ENSG00000012061	19	45910591	45982086
ENSG00000125740	19	45971253	45978437
ENSG00000125744	19	45988547	46000319
ENSG00000213889	19	45992035	46005768
ENSG00000125753	19	46009837	46030241
ENSG00000138792	4	111286889	111486441
ENSG00000250511	4	111433644	111440661
ENSG00000250103	4	111516671	111536614
ENSG00000164093	4	111538579	111563279
ENSG00000249519	4	111715559	111718500
ENSG00000251808	4	111774532	111774626
ENSG00000215961	4	111781738	111781803
ENSG00000248656	4	112561651	112569964
ENSG00000250855	4	112723957	112761042
ENSG00000248432	4	112725574	112730850
ENSG00000249815	4	112748037	112993854
ENSG00000174749	4	113066553	113116412
ENSG00000260526	4	113150717	113152752
ENSG00000138660	4	113152893	113191203
ENSG00000272567	4	113194124	113194472
ENSG00000145365	4	113195698	113207059
ENSG00000073331	4	113206665	113363776
ENSG00000178403	4	113434672	113437328
ENSG00000249509	4	113436541	113468037
ENSG00000138658	4	113460492	113558151
ENSG00000174720	4	113558120	113578748
ENSG00000249532	4	113567632	113571207
ENSG00000199169	4	113569030	113569097
ENSG00000199145	4	113569160	113569227
ENSG00000207927	4	113569339	113569407
ENSG00000199102	4	113569519	113569586
ENSG00000250046	4	113614203	113627966
ENSG00000251126	4	113801454	113803486
ENSG00000256481	11	63849162	63854647
ENSG00000126500	11	63870660	63886645
ENSG00000256341	11	63885744	63886682
ENSG00000168439	11	63952744	63972015
ENSG00000149781	11	63974150	63991354
ENSG00000149743	11	63991271	63993726
ENSG00000149761	11	63993413	63998158
ENSG00000256116	11	63996686	64001824
ENSG00000110011	11	63997750	64001758
ENSG00000173511	11	64002010	64006259
ENSG00000173486	11	64008475	64011604
ENSG00000173457	11	64011956	64014413
ENSG00000256940	11	64013436	64015689
ENSG00000257086	11	64014411	64016966
ENSG00000149782	11	64018995	64036622
ENSG00000002330	11	64037302	64052176
ENSG00000173264	11	64037534	64056972
ENSG00000182450	11	64058774	64067503
ENSG00000219435	11	64067863	64072242
ENSG00000173153	11	64073044	64084215
ENSG00000173113	11	64083932	64085556
ENSG00000126432	11	64085560	64089283
ENSG00000236935	11	64092522	64096976
ENSG00000168071	11	64107695	64125006
ENSG00000162302	11	64126620	64139687
ENSG00000221273	11	64136074	64136175
ENSG00000231680	11	64161814	64163303
ENSG00000231492	11	64187863	64200142
ENSG00000181908	11	64216546	64219126
ENSG00000232500	11	64268325	64272858
ENSG00000168065	11	64323098	64340347
ENSG00000197891	11	64358113	64369820
ENSG00000110076	11	64373646	64490660
ENSG00000237410	11	64413871	64427153
