CHR	START	STOP	LOC
1	10583	1892607	block0
1	1892607	3582736	block1
1	3582736	4380811	block2
1	4380811	5913893	block3
1	5913893	7247335	block4
1	7247335	9365199	block5
1	9365199	10806984	block6
1	10806984	11777841	block7
1	11777841	12779466	block8
1	12779466	14891511	block9
1	14891511	16897730	block10
1	16897730	18662899	block11
1	18662899	20469149	block12
1	20469149	21736588	block13
1	21736588	23086883	block14
1	23086883	23920590	block15
1	23920590	25516845	block16
1	25516845	27401867	block17
1	27401867	30161881	block18
1	30161881	32438685	block19
1	32438685	34799758	block20
1	34799758	37549183	block21
1	37549183	38731847	block22
1	38731847	40200567	block23
1	40200567	41975327	block24
1	41975327	43758457	block25
1	43758457	44969183	block26
1	44969183	46899501	block27
1	46899501	48002576	block28
1	48002576	48978188	block29
1	48978188	49894177	block30
1	49894177	51713726	block31
1	51713726	54226262	block32
1	54226262	56413117	block33
1	56413117	57021728	block34
1	57021728	58865399	block35
1	58865399	59890409	block36
1	59890409	61922365	block37
1	61922365	63455089	block38
1	63455089	65041704	block39
1	65041704	66939404	block40
1	66939404	68477895	block41
1	68477895	69687616	block42
1	69687616	71372470	block43
1	71372470	71684405	block44
1	71684405	74326907	block45
1	74326907	76728135	block46
1	76728135	79661198	block47
1	79661198	81354191	block48
1	81354191	83991748	block49
1	83991748	84844495	block50
1	84844495	86454751	block51
1	86454751	88128631	block52
1	88128631	90066303	block53
1	90066303	91886317	block54
1	91886317	93536459	block55
1	93536459	94506191	block56
1	94506191	96150893	block57
1	96150893	97885249	block58
1	97885249	99800604	block59
1	99800604	100826405	block60
1	100826405	102041016	block61
1	102041016	102898745	block62
1	102898745	103914211	block63
1	103914211	106087842	block64
1	106087842	108409665	block65
1	108409665	110303931	block66
1	110303931	111741737	block67
1	111741737	113273306	block68
1	113273306	114873845	block69
1	114873845	115880593	block70
1	115880593	118839067	block71
1	118839067	144977494	block72
1	144977494	148361253	block73
1	148361253	151538881	block74
1	151538881	153180829	block75
1	153180829	154770403	block76
1	154770403	156336133	block77
1	156336133	158027412	block78
1	158027412	159913048	block79
1	159913048	162346721	block80
1	162346721	165191702	block81
1	165191702	166460517	block82
1	166460517	169086324	block83
1	169086324	170557776	block84
1	170557776	173097907	block85
1	173097907	175089768	block86
1	175089768	177433381	block87
1	177433381	178944309	block88
1	178944309	178954470	block89
1	178954470	181144121	block90
1	181144121	182755356	block91
1	182755356	184595513	block92
1	184595513	186810023	block93
1	186810023	188759945	block94
1	188759945	189904130	block95
1	189904130	191868930	block96
1	191868930	194107442	block97
1	194107442	196176201	block98
1	196176201	197311514	block99
1	197311514	199239884	block100
1	199239884	200137649	block101
1	200137649	201589975	block102
1	201589975	203334734	block103
1	203334734	204681068	block104
1	204681068	206073265	block105
1	206073265	208410364	block106
1	208410364	210787750	block107
1	210787750	212842330	block108
1	212842330	214578266	block109
1	214578266	216243634	block110
1	216243634	218705513	block111
1	218705513	219590571	block112
1	219590571	221858231	block113
1	221858231	222230220	block114
1	222230220	224938520	block115
1	224938520	226810860	block116
1	226810860	229156248	block117
1	229156248	230685255	block118
1	230685255	232090252	block119
1	232090252	233429284	block120
1	233429284	234599434	block121
1	234599434	235819436	block122
1	235819436	237555628	block123
1	237555628	238567807	block124
1	238567807	239925314	block125
1	239925314	240564091	block126
1	240564091	241582220	block127
1	241582220	242071602	block128
1	242071602	244109499	block129
1	244109499	245506746	block130
1	245506746	247344518	block131
1	247344518	249239466	block132
2	10133	1781022	block133
2	1781022	3973779	block134
2	3973779	5708337	block135
2	5708337	6836254	block136
2	6836254	8422147	block137
2	8422147	10298469	block138
2	10298469	12419150	block139
2	12419150	14335308	block140
2	14335308	16329735	block141
2	16329735	18647423	block142
2	18647423	19692404	block143
2	19692404	21050490	block144
2	21050490	23341383	block145
2	23341383	24686918	block146
2	24686918	26894985	block147
2	26894985	28598777	block148
2	28598777	29217559	block149
2	29217559	30463711	block150
2	30463711	31550450	block151
2	31550450	33363777	block152
2	33363777	35345028	block153
2	35345028	36122006	block154
2	36122006	38132712	block155
2	38132712	39031337	block156
2	39031337	40281483	block157
2	40281483	43309590	block158
2	43309590	44313803	block159
